Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,4,1,aclnnInplaceNormal_StatelessRandomNormalV2AiCore_StatelessRandomNormalV2,StatelessRandomNormalV2,dynamic,AI_VECTOR_CORE,1775117018248892.752	,9.523,0,56,0,NO,"""2;1;2;""",INT64;UINT64;UINT64;INT32,ND;ND;ND;ND,"""512,512""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74,725809,4.766,0.545,1.572,0.18,0.163,0.019,0.314,0.036,0.067,0
0,4294967295,5,1,aclnnInplaceNormal_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775117018249466.786	,4.172,564.511,29,0,NO,"""512,512;""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,160649,0.884,0.225,0.823,0.209,0.379,0.097,0.592,0.151,0.099,0
0,4294967295,6,1,aclnnInplaceNormal_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775117018249730.128	,3.127,259.17,29,0,NO,"""512,512;""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,114252,0.896,0.311,0.837,0.291,0.388,0.135,0.617,0.214,0.086,0
0,4294967295,7,1,aclnnInplaceNormal_StatelessRandomNormalV2AiCore_StatelessRandomNormalV2,StatelessRandomNormalV2,dynamic,AI_VECTOR_CORE,1775117018250075.217	,5.317,341.962,56,0,NO,"""2;1;2;""",INT64;UINT64;UINT64;INT32,ND;ND;ND;ND,"""512,512""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,418797,3.784,0.746,1.16,0.229,0.312,0.062,0.141,0.028,0.0,0
0,4294967295,8,1,aclnnInplaceNormal_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775117018250086.542	,2.154,6.008,29,0,NO,"""512,512;""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,63878,0.737,0.394,0.878,0.469,0.397,0.212,0.345,0.184,0.0,0
0,4294967295,9,1,aclnnInplaceNormal_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775117018250095.162	,2.364,6.466,29,0,NO,"""512,512;""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,77034,0.674,0.324,1.061,0.51,0.356,0.171,0.552,0.265,0.0,0
0,4294967295,10,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117018752459.917	,355.962,502362.391,1024,0,YES,"""512,512;512,512""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT,ND,N/A,355.67,15664309,70.682,0.199,95.583,0.269,38.563,0.108,310.077,0.872,0.047,0.0,8.222,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.25
0,4294967295,11,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117018754183.851	,348.697,1367.972,1024,0,YES,"""512,512;512,512""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT,ND,N/A,348.41,15290053,70.934,0.204,96.423,0.277,38.686,0.111,306.667,0.88,0.047,0.0,4.599,0.013,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.911
0,4294967295,12,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117018754598.634	,346.544,66.086,1024,0,YES,"""512,512;512,512""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT,ND,N/A,346.3,15228561,70.789,0.204,95.244,0.275,38.624,0.112,305.5,0.882,0.047,0.0,4.608,0.013,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.117
0,4294967295,13,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117018754995.986	,350.332,50.808,1024,0,YES,"""512,512;512,512""",FLOAT16;FLOAT16,ND;ND,"""512,512""",FLOAT,ND,N/A,350.09,15270260,71.369,0.204,95.79,0.274,38.942,0.111,309.06,0.883,0.047,0.0,4.697,0.013,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.346
